Circle Test @ YYE. Version 1.1.1.. Simulation on 2023- 6- 2   17h19
          X coord          Y coord          Radius          Time          Local Time
         0.93690974        -0.34689364        0.00200000        0.00002200        0.02757291
         0.93799427        -0.34521322        0.00200000        0.00002300        0.02882623
         0.93599800        -0.34509101        0.00200000        0.00002400        0.03007954
         0.93697762        -0.34288595        0.00241288        0.00002400        0.03007954
         0.93603168        -0.34084047        0.00225362        0.00002400        0.03007954
         0.93423186        -0.34423666        0.00384362        0.00002400        0.03007954
         0.93277703        -0.34835262        0.00436551        0.00002400        0.03007954
         0.92881659        -0.35002219        0.00429797        0.00002400        0.03007954
         0.93575769        -0.35264366        0.00741963        0.00002400        0.03007954
         0.93410982        -0.35151069        0.00200000        0.00002500        0.03133285
         0.93484766        -0.34971494        0.00194143        0.00002500        0.03133285
         0.93549612        -0.35148109        0.00188143        0.00002500        0.03133285
         0.93353179        -0.35110501        0.00200000        0.00002600        0.03258617
         0.93234325        -0.35344583        0.00262527        0.00002600        0.03258617
         0.93518432        -0.35407679        0.00291029        0.00002600        0.03258617
         0.93432847        -0.35587767        0.00200000        0.00002700        0.03383948
         0.93349294        -0.35769478        0.00200000        0.00002800        0.03509280
         0.93230416        -0.35930313        0.00200000        0.00002900        0.03634611
         0.93172790        -0.35738795        0.00200000        0.00003000        0.03759942
         0.93377544        -0.35775764        0.00208065        0.00003000        0.03759942
         0.93206742        -0.35870018        0.00200000        0.00003100        0.03885274
         0.93279021        -0.35762796        0.00129309        0.00003100        0.03885274
         0.93359644        -0.35822434        0.00100284        0.00003100        0.03885274
         0.93425559        -0.35633608        0.00200000        0.00003200        0.04010605
         0.93269261        -0.35508825        0.00200000        0.00003300        0.04135937
         0.93414836        -0.35371622        0.00200041        0.00003300        0.04135937
         0.93432905        -0.35482811        0.00112647        0.00003300        0.04135937
         0.93459987        -0.35284653        0.00200000        0.00003300        0.04135937
         0.93373200        -0.35336650        0.00101172        0.00003300        0.04135937
         0.93527127        -0.35393148        0.00163968        0.00003300        0.04135937
         0.93446140        -0.35575993        0.00200000        0.00003400        0.04261268
         0.93425742        -0.35388006        0.00200000        0.00003500        0.04386599
         0.93409142        -0.35188696        0.00200000        0.00003600        0.04511931
         0.93444673        -0.35009580        0.00182606        0.00003600        0.04511931
         0.93233013        -0.34992635        0.00212337        0.00003600        0.04511931
         0.93648235        -0.35024862        0.00416472        0.00003600        0.04511931
         0.93493919        -0.35112221        0.00200000        0.00003700        0.04637262
         0.93369575        -0.35073681        0.00130180        0.00003700        0.04637262
         0.93333828        -0.35331348        0.00260135        0.00003700        0.04637262
         0.93535654        -0.35349792        0.00202667        0.00003700        0.04637262
         0.93395726        -0.35482758        0.00200000        0.00003800        0.04762594
         0.93366059        -0.35548861        0.00200000        0.00003900        0.04887925
         0.93166748        -0.35532278        0.00200000        0.00004000        0.05013257
         0.93396793        -0.35359864        0.00287485        0.00004000        0.05013257
         0.93271002        -0.35405122        0.00133685        0.00004000        0.05013257
         0.93096266        -0.35562654        0.00235264        0.00004000        0.05013257
         0.92791238        -0.35718425        0.00342501        0.00004000        0.05013257
         0.92220354        -0.35745694        0.00571535        0.00004000        0.05013257
         0.91800820        -0.34735069        0.01094245        0.00004000        0.05013257
         0.90259557        -0.33716384        0.01847488        0.00004000        0.05013257
         0.90285247        -0.30067822        0.03648652        0.00004000        0.05013257
         0.91789323        -0.34667777        0.04839610        0.00004000        0.05013257
         0.92622073        -0.36355554        0.01882038        0.00004000        0.05013257
         0.92437013        -0.36818289        0.00498368        0.00004000        0.05013257
         0.92858754        -0.37087449        0.00500312        0.00004000        0.05013257
         0.92833519        -0.36898553        0.00200000        0.00004100        0.05138588
         0.92859934        -0.36799800        0.00102225        0.00004100        0.05138588
         0.92746686        -0.36813737        0.00114102        0.00004100        0.05138588
         0.92876449        -0.36643273        0.00214234        0.00004100        0.05138588
         0.92722304        -0.36617405        0.00156301        0.00004100        0.05138588
         0.92415424        -0.36655023        0.00309178        0.00004100        0.05138588
         0.92001909        -0.37062693        0.00580680        0.00004100        0.05138588
         0.92096887        -0.37870463        0.00813335        0.00004100        0.05138588
         0.92516264        -0.37905550        0.00420843        0.00004100        0.05138588
         0.92604780        -0.37727314        0.00200000        0.00004200        0.05263919
         0.92419527        -0.37777003        0.00200000        0.00004300        0.05389251
         0.92483198        -0.37921355        0.00157770        0.00004300        0.05389251
         0.92448688        -0.37724355        0.00200000        0.00004400        0.05514582
         0.92303541        -0.37683896        0.00150680        0.00004400        0.05514582
         0.92345637        -0.37386509        0.00300352        0.00004400        0.05514582
         0.92021272        -0.37201620        0.00373358        0.00004400        0.05514582
         0.92160973        -0.36471476        0.00743388        0.00004400        0.05514582
         0.91330524        -0.36776942        0.00884847        0.00004400        0.05514582
         0.92811728        -0.37208750        0.01542862        0.00004400        0.05514582
         0.92719596        -0.37386266        0.00200000        0.00004400        0.05514582
         0.92521841        -0.37416144        0.00200000        0.00004400        0.05514582
         0.92498745        -0.37613702        0.00198904        0.00004400        0.05514582
         0.92356613        -0.37580040        0.00146064        0.00004400        0.05514582
         0.92442740        -0.37302701        0.00290405        0.00004400        0.05514582
         0.92748853        -0.37375872        0.00314737        0.00004400        0.05514582
         0.92593671        -0.37260700        0.00200000        0.00004500        0.05639914
         0.92775078        -0.37318665        0.00190443        0.00004500        0.05639914
         0.92752092        -0.37119991        0.00200000        0.00004600        0.05765245
         0.92875619        -0.36998649        0.00200000        0.00004700        0.05890576
         0.92740643        -0.37146234        0.00200000        0.00004800        0.06015908
         0.92628424        -0.36980684        0.00200000        0.00004900        0.06141239
         0.92682083        -0.37237503        0.00262365        0.00004900        0.06141239
         0.92686470        -0.37354489        0.00117068        0.00004900        0.06141239
         0.92620553        -0.37359825        0.00200000        0.00005000        0.06266571
         0.92654930        -0.37236044        0.00128466        0.00005000        0.06266571
         0.92795708        -0.37212059        0.00142807        0.00005000        0.06266571
         0.92599950        -0.37253033        0.00200000        0.00005100        0.06391902
         0.92414384        -0.37226322        0.00187479        0.00005100        0.06391902
         0.92118009        -0.37447146        0.00369596        0.00005100        0.06391902
         0.92334389        -0.37965274        0.00561495        0.00005100        0.06391902
         0.92413676        -0.38110123        0.00165129        0.00005100        0.06391902
         0.92234252        -0.38021764        0.00200000        0.00005100        0.06391902
         0.92452731        -0.38111580        0.00236220        0.00005100        0.06391902
         0.92370419        -0.38293856        0.00200000        0.00005100        0.06391902
         0.92239703        -0.38158616        0.00200000        0.00005200        0.06517234
         0.92344376        -0.38013478        0.00178946        0.00005200        0.06517234
         0.92481354        -0.38000914        0.00137553        0.00005200        0.06517234
         0.92334388        -0.38136565        0.00200000        0.00005300        0.06642565
         0.92137371        -0.38102154        0.00200000        0.00005400        0.06767896
         0.92247394        -0.38375965        0.00295089        0.00005400        0.06767896
         0.92055935        -0.38433787        0.00200000        0.00005400        0.06767896
         0.91918573        -0.38233289        0.00243039        0.00005400        0.06767896
         0.92112363        -0.38636049        0.00446957        0.00005400        0.06767896
         0.92217190        -0.38594109        0.00112905        0.00005400        0.06767896
         0.92080917        -0.38658123        0.00200000        0.00005500        0.06893228
         0.92204487        -0.38708277        0.00133360        0.00005500        0.06893228
         0.92006715        -0.38678504        0.00200000        0.00005600        0.07018559
         0.91852385        -0.38561158        0.00193876        0.00005600        0.07018559
         0.91778853        -0.38186699        0.00381611        0.00005600        0.07018559
         0.91611019        -0.37617053        0.00593855        0.00005600        0.07018559
         0.90664052        -0.37423414        0.00966563        0.00005600        0.07018559
         0.92571012        -0.37238097        0.01915943        0.00005600        0.07018559
         0.92563933        -0.37457884        0.00219902        0.00005600        0.07018559
         0.92697642        -0.37511961        0.00144230        0.00005600        0.07018559
         0.92761659        -0.37322507        0.00200000        0.00005700        0.07143891
         0.92798523        -0.37131779        0.00200000        0.00005800        0.07269222
         0.92678805        -0.36971568        0.00200000        0.00005900        0.07394553
         0.92890336        -0.37028086        0.00218951        0.00005900        0.07394553
         0.92703944        -0.36955573        0.00200000        0.00005900        0.07394553
         0.92671181        -0.37154417        0.00201525        0.00005900        0.07394553
         0.92588534        -0.37019601        0.00158132        0.00005900        0.07394553
         0.92761497        -0.37246076        0.00284968        0.00005900        0.07394553
         0.92566287        -0.37289586        0.00200000        0.00005900        0.07394553
         0.92392679        -0.37180461        0.00205056        0.00005900        0.07394553
         0.91988358        -0.37225831        0.00406859        0.00005900        0.07394553
         0.92647186        -0.36837372        0.00764823        0.00005900        0.07394553
         0.92389673        -0.36987303        0.00297979        0.00005900        0.07394553
         0.91908162        -0.36978170        0.00481598        0.00005900        0.07394553
         0.91806215        -0.36051897        0.00931866        0.00005900        0.07394553
         0.90567161        -0.35470291        0.01368766        0.00005900        0.07394553
         0.88879727        -0.37622212        0.02734630        0.00005900        0.07394553
         0.91891263        -0.35867278        0.03485562        0.00005900        0.07394553
         0.92625314        -0.37008454        0.01356876        0.00005900        0.07394553
         0.92378526        -0.37072459        0.00254953        0.00005900        0.07394553
         0.92320351        -0.37529031        0.00460263        0.00005900        0.07394553
         0.92630501        -0.37382056        0.00343212        0.00005900        0.07394553
         0.92692114        -0.37474293        0.00110922        0.00005900        0.07394553
         0.92563730        -0.37374384        0.00200000        0.00006000        0.07519885
         0.92565952        -0.37550081        0.00175711        0.00006000        0.07519885
         0.92581943        -0.37656625        0.00107738        0.00006000        0.07519885
         0.92590364        -0.37517590        0.00200000        0.00006100        0.07645216
         0.92573126        -0.37560018        0.00200000        0.00006200        0.07770548
         0.92553734        -0.37759076        0.00200000        0.00006300        0.07895879
         0.92490720        -0.37948890        0.00200000        0.00006400        0.08021210
         0.92293796        -0.37913949        0.00200000        0.00006500        0.08146542
         0.92276300        -0.38135445        0.00222186        0.00006500        0.08146542
         0.92123341        -0.38153146        0.00153980        0.00006500        0.08146542
         0.92263392        -0.37900858        0.00288554        0.00006500        0.08146542
         0.92015774        -0.37962947        0.00255283        0.00006500        0.08146542
         0.91988594        -0.38422765        0.00460621        0.00006500        0.08146542
         0.92170156        -0.38172205        0.00309427        0.00006500        0.08146542
         0.92265780        -0.37954250        0.00238009        0.00006500        0.08146542
         0.92159482        -0.38161336        0.00232774        0.00006500        0.08146542
         0.92356846        -0.38318072        0.00252029        0.00006500        0.08146542
         0.92158515        -0.38292289        0.00200000        0.00006500        0.08146542
         0.91985053        -0.38397256        0.00202749        0.00006500        0.08146542
         0.91855427        -0.38101927        0.00322524        0.00006500        0.08146542
         0.92237539        -0.37698502        0.00555663        0.00006500        0.08146542
         0.92031042        -0.37408596        0.00355930        0.00006500        0.08146542
         0.91474345        -0.37756708        0.00656577        0.00006500        0.08146542
         0.92323797        -0.37157059        0.01039782        0.00006500        0.08146542
         0.92587095        -0.37557798        0.00479497        0.00006500        0.08146542
         0.92727033        -0.37422575        0.00200000        0.00006600        0.08271873
         0.92534397        -0.37368806        0.00200000        0.00006700        0.08397205
         0.92656535        -0.37204164        0.00204999        0.00006700        0.08397205
         0.92683860        -0.37053420        0.00153201        0.00006700        0.08397205
         0.92824245        -0.37172210        0.00183900        0.00006700        0.08397205
         0.92723488        -0.36999444        0.00200000        0.00006700        0.08397205
         0.92705510        -0.36833296        0.00167119        0.00006700        0.08397205
         0.92538170        -0.36653958        0.00245285        0.00006700        0.08397205
         0.92347317        -0.37080137        0.00466962        0.00006700        0.08397205
         0.92006154        -0.36733498        0.00486365        0.00006700        0.08397205
         0.92937561        -0.36764749        0.00931931        0.00006700        0.08397205
         0.92750745        -0.36693337        0.00200000        0.00006700        0.08397205
         0.92777139        -0.36439891        0.00254817        0.00006700        0.08397205
         0.92853391        -0.36753974        0.00323206        0.00006700        0.08397205
         0.92736214        -0.36825074        0.00137060        0.00006700        0.08397205
         0.92516431        -0.36825690        0.00219784        0.00006700        0.08397205
         0.92684163        -0.36436506        0.00423791        0.00006700        0.08397205
         0.92985421        -0.36156956        0.00410980        0.00006700        0.08397205
         0.93041882        -0.36382187        0.00232200        0.00006700        0.08397205
         0.93006705        -0.36579069        0.00200000        0.00006700        0.08397205
         0.93046522        -0.36383072        0.00200000        0.00006700        0.08397205
         0.92939970        -0.36213819        0.00200000        0.00006700        0.08397205
         0.92877371        -0.35967727        0.00253929        0.00006700        0.08397205
         0.92659908        -0.36305103        0.00401388        0.00006700        0.08397205
         0.93014780        -0.35979573        0.00481564        0.00006700        0.08397205
         0.93214774        -0.35799725        0.00268966        0.00006700        0.08397205
         0.93084530        -0.35731490        0.00147036        0.00006700        0.08397205
         0.92804087        -0.35816634        0.00293084        0.00006700        0.08397205
         0.92282286        -0.35766269        0.00524225        0.00006700        0.08397205
         0.91334307        -0.35365887        0.01029063        0.00006700        0.08397205
         0.89942204        -0.33850622        0.02057662        0.00006700        0.08397205
         0.91862671        -0.37243478        0.03898675        0.00006700        0.08397205
         0.92592269        -0.36761016        0.00874690        0.00006700        0.08397205
         0.92406259        -0.37089172        0.00377209        0.00006700        0.08397205
         0.92388788        -0.36661229        0.00428300        0.00006700        0.08397205
         0.92978253        -0.36788982        0.00603150        0.00006700        0.08397205
         0.92793281        -0.36865045        0.00200000        0.00006700        0.08397205
         0.92793863        -0.36713054        0.00151993        0.00006700        0.08397205
         0.92943330        -0.36569169        0.00207468        0.00006700        0.08397205
         0.92822254        -0.36562872        0.00121240        0.00006700        0.08397205
         0.92971946        -0.36745590        0.00236207        0.00006700        0.08397205
         0.92771956        -0.36747661        0.00200000        0.00006700        0.08397205
         0.92986841        -0.36738060        0.00215099        0.00006700        0.08397205
         0.93012086        -0.36539660        0.00200000        0.00006700        0.08397205
         0.92871023        -0.36681439        0.00200000        0.00006700        0.08397205
