PSD @ YYE. Version 2.0.2.. Simulation on 2023- 5-31   13h55
          X coord          Y coord          Generation          Radius          Time          Local Time

 #            1
         0.41869686         0.57698938       4        0.00142955        0.24288250        0.10778502
         0.42067938         0.57672555       4        0.00200000        0.24288250        0.10778502
         0.42059621         0.57597671       4        0.00200000        0.24288350        0.10903833
         0.42057623         0.57735012       4        0.00137355        0.24288397        0.10903833
         0.42211265         0.57607001       4        0.00200000        0.24288497        0.11029164
         0.42207162         0.57734961       4        0.00128026        0.24288538        0.11029164
         0.42192535         0.57535628       4        0.00200000        0.24288638        0.11154496
         0.42354045         0.57652565       4        0.00199399        0.24288737        0.11154496
         0.42324652         0.57619661       4        0.00200000        0.24288837        0.11279827
         0.42329974         0.57734904       4        0.00115366        0.24288870        0.11279827
         0.42522398         0.57680376       4        0.00200000        0.24288870        0.11279827
         0.42494990         0.57591564       4        0.00200000        0.24288970        0.11405159
         0.42381849         0.57679773       4        0.00143462        0.24289022        0.11405159
         0.42404902         0.57591614       4        0.00200000        0.24289122        0.11530490
         0.42270228         0.57542317       4        0.00143413        0.24289173        0.11530490
         0.42166040         0.57380200       4        0.00192710        0.24289266        0.11530490
         0.41870217         0.57184265       4        0.00354827        0.24289581        0.11530490
         0.42420735         0.57200665       4        0.00550762        0.24290339        0.11530490
         0.42480216         0.57731706       4        0.00534362        0.24291053        0.11530490
         0.42645212         0.57625315       4        0.00200000        0.24291153        0.11655821
         0.42541827         0.57588596       4        0.00109712        0.24291183        0.11655821
         0.42395919         0.57600967       4        0.00146431        0.24291237        0.11655821
         0.42263497         0.57580075       4        0.00134060        0.24291282        0.11655821
         0.42127012         0.57653436       4        0.00154951        0.24291342        0.11655821
         0.42318012         0.57712755       4        0.00200000        0.24291342        0.11655821
         0.42517981         0.57716309       4        0.00200000        0.24291342        0.11655821
         0.42436211         0.57571225       4        0.00200000        0.24291442        0.11781153
         0.42366557         0.57422970       4        0.00163802        0.24291509        0.11781153
         0.42374389         0.57734929       4        0.00312057        0.24291752        0.11781153
         0.42554506         0.57647992       4        0.00200000        0.24291752        0.11781153
         0.42673824         0.57661553       4        0.00200000        0.24291852        0.11906484
         0.42561595         0.57496010       4        0.00200000        0.24291952        0.12031816
         0.42564116         0.57735014       4        0.00239017        0.24292095        0.12031816
         0.42763845         0.57724643       4        0.00200000        0.24292195        0.12157147
         0.42563860         0.57727033       4        0.00200000        0.24292295        0.12282479
         0.42698490         0.57595120       4        0.00200000        0.24292395        0.12407810
         0.42799809         0.57691600       4        0.00139907        0.24292444        0.12407810
         0.42762976         0.57495021       4        0.00200000        0.24292444        0.12407810
         0.42553005         0.57611274       4        0.00240006        0.24292588        0.12407810
         0.42431083         0.57632489       4        0.00123753        0.24292626        0.12407810
         0.42486860         0.57718530       4        0.00102538        0.24292653        0.12407810
         0.42502402         0.57519135       4        0.00200000        0.24292653        0.12407810
         0.42517773         0.57303790       4        0.00215892        0.24292769        0.12407810
         0.42914945         0.57135806       4        0.00431237        0.24293234        0.12407810
         0.42391086         0.56844879       4        0.00599221        0.24294132        0.12407810
         0.42633382         0.55988342       4        0.00890148        0.24296113        0.12407810
         0.41496071         0.54662661       4        0.01746685        0.24303740        0.12407810
         0.41219568         0.57722559       4        0.03072366        0.24327338        0.12407810
         0.41114003         0.57552689       4        0.00200000        0.24327338        0.12407810
         0.41078621         0.57731561       4        0.00182338        0.24327422        0.12407810
         0.41230955         0.57601968       4        0.00200000        0.24327422        0.12407810
         0.41334969         0.57684948       4        0.00133059        0.24327466        0.12407810
         0.41285308         0.57491212       4        0.00200000        0.24327466        0.12407810
         0.41495329         0.57367370       4        0.00243815        0.24327614        0.12407810
         0.41670915         0.57690389       4        0.00367657        0.24327952        0.12407810
         0.41840117         0.57673031       4        0.00200000        0.24328052        0.12533141
         0.41896070         0.57605009       4        0.00200000        0.24328152        0.12658473
         0.41775752         0.57654284       4        0.00130018        0.24328195        0.12658473
         0.41590654         0.57730040       4        0.00200000        0.24328195        0.12658473
         0.41398691         0.57683888       4        0.00200000        0.24328295        0.12783804
         0.41341525         0.57594510       4        0.00200000        0.24328395        0.12909136
         0.41201410         0.57605137       4        0.00140517        0.24328444        0.12909136
         0.41089713         0.57538841       4        0.00129890        0.24328486        0.12909136
         0.40938613         0.57413709       4        0.00196186        0.24328582        0.12909136
         0.41200765         0.57599508       4        0.00321318        0.24328841        0.12909136
         0.41324408         0.57654987       4        0.00135519        0.24328886        0.12909136
         0.41322012         0.57615081       4        0.00200000        0.24328986        0.13034467
         0.41385254         0.57513162       4        0.00119946        0.24329022        0.13034467
         0.41280118         0.57317789       4        0.00221865        0.24329145        0.13034467
         0.40862993         0.57327505       4        0.00417238        0.24329581        0.13034467
         0.40487637         0.57168817       4        0.00407522        0.24329996        0.13034467
         0.40461921         0.56603191       4        0.00566210        0.24330797        0.13034467
         0.39346231         0.56793691       4        0.01131836        0.24334000        0.13034467
         0.38454716         0.57095872       4        0.00941336        0.24336215        0.13034467
         0.38142258         0.56538299       4        0.00639154        0.24337237        0.13034467
         0.38206460         0.55343295       4        0.01196728        0.24340817        0.13034467
         0.40546634         0.55837228       4        0.02391732        0.24355118        0.13034467
         0.39222917         0.57197160       4        0.01897799        0.24364122        0.13034467
         0.38699297         0.57320133       4        0.00537867        0.24364845        0.13034467
         0.38398038         0.57034860       4        0.00414894        0.24365276        0.13034467
         0.38627088         0.56373218       4        0.00700167        0.24366501        0.13034467
         0.39253660         0.57582322       4        0.01361809        0.24371138        0.13034467
         0.39124542         0.57500790       4        0.00152705        0.24371196        0.13034467
         0.39217998         0.57286004       4        0.00234237        0.24371333        0.13034467
         0.39546942         0.57591647       4        0.00449023        0.24371837        0.13034467
         0.39439922         0.57496229       4        0.00143380        0.24371888        0.13034467
         0.39370791         0.57724801       4        0.00238798        0.24372031        0.13034467
         0.39281708         0.57545736       4        0.00200000        0.24372031        0.13034467
         0.39161298         0.57399680       4        0.00189291        0.24372121        0.13034467
         0.39324902         0.57692411       4        0.00335347        0.24372402        0.13034467
         0.39127855         0.57658168       4        0.00200000        0.24372402        0.13034467
         0.39311535         0.57732756       4        0.00200000        0.24372502        0.13159798
         0.39237469         0.57546976       4        0.00200000        0.24372602        0.13285130
         0.39419474         0.57499675       4        0.00188051        0.24372690        0.13285130
         0.39596687         0.57344802       4        0.00235351        0.24372829        0.13285130
         0.39721870         0.57714403       4        0.00390225        0.24373209        0.13285130
         0.39811911         0.57535818       4        0.00200000        0.24373209        0.13285130
         0.39662685         0.57667787       4        0.00199209        0.24373309        0.13285130
         0.39464365         0.57693655       4        0.00200000        0.24373309        0.13285130
         0.39662478         0.57666250       4        0.00200000        0.24373309        0.13285130
         0.39495861         0.57693176       4        0.00200000        0.24373409        0.13410461
         0.39408602         0.57596917       4        0.00200000        0.24373509        0.13535793
         0.39357977         0.57725414       4        0.00138110        0.24373556        0.13535793
         0.39537124         0.57636495       4        0.00200000        0.24373556        0.13535793
         0.39347085         0.57698827       4        0.00200000        0.24373556        0.13535793
         0.39468731         0.57612474       4        0.00200000        0.24373656        0.13661124
         0.39528371         0.57719536       4        0.00122553        0.24373694        0.13661124
         0.39727257         0.57729434       4        0.00200000        0.24373794        0.13786456
         0.39576878         0.57597577       4        0.00200000        0.24373894        0.13911787
         0.39601966         0.57732718       4        0.00137450        0.24373941        0.13911787
         0.39411349         0.57676795       4        0.00200000        0.24374041        0.14037118
         0.39304952         0.57507444       4        0.00200000        0.24374141        0.14162450
         0.39309606         0.57734979       4        0.00227583        0.24374270        0.14162450
         0.39507436         0.57705597       4        0.00200000        0.24374270        0.14162450
         0.39497007         0.57505869       4        0.00200000        0.24374270        0.14162450
         0.39270361         0.57472035       4        0.00229158        0.24374402        0.14162450
         0.39029333         0.57577251       4        0.00262992        0.24374575        0.14162450
         0.38964304         0.57721002       4        0.00157776        0.24374637        0.14162450
         0.38821118         0.57609417       4        0.00200000        0.24374737        0.14287781
         0.38876679         0.57496764       4        0.00125610        0.24374776        0.14287781
         0.38843106         0.57260878       4        0.00238263        0.24374918        0.14287781
         0.38884146         0.57733247       4        0.00474149        0.24375480        0.14287781
         0.38774022         0.57569855       4        0.00200000        0.24375580        0.14413113
         0.38688881         0.57428318       4        0.00165172        0.24375648        0.14413113
         0.38792029         0.57717162       4        0.00306708        0.24375884        0.14413113
         0.38992028         0.57717590       4        0.00200000        0.24375884        0.14413113
         0.38835591         0.57592981       4        0.00200000        0.24375884        0.14413113
         0.38947369         0.57505330       4        0.00142046        0.24375934        0.14413113
         0.39143636         0.57624662       4        0.00229697        0.24376066        0.14413113
         0.39172297         0.57518084       4        0.00110365        0.24376096        0.14413113
         0.38956950         0.57491818       4        0.00216943        0.24376214        0.14413113
         0.39093985         0.57692746       4        0.00243209        0.24376362        0.14413113
         0.38948710         0.57555286       4        0.00200000        0.24376362        0.14413113
         0.39092735         0.57447753       4        0.00179741        0.24376443        0.14413113
         0.38855372         0.57609571       4        0.00287274        0.24376649        0.14413113
         0.38759336         0.57528848       4        0.00125456        0.24376688        0.14413113
         0.38961561         0.57569033       4        0.00206179        0.24376795        0.14413113
         0.39031609         0.57719523       4        0.00165994        0.24376864        0.14413113
         0.38831609         0.57719117       4        0.00200000        0.24376864        0.14413113
         0.38975124         0.57579820       4        0.00200000        0.24376864        0.14413113
         0.38821355         0.57600893       4        0.00155206        0.24376924        0.14413113
         0.38711438         0.57524015       4        0.00134134        0.24376969        0.14413113
         0.38790425         0.57719686       4        0.00211012        0.24377080        0.14413113
         0.38778112         0.57550747       4        0.00200000        0.24377180        0.14538444
         0.38946771         0.57624999       4        0.00184280        0.24377265        0.14538444
         0.38838141         0.57607511       4        0.00110028        0.24377295        0.14538444
         0.38964001         0.57587023       4        0.00127516        0.24377336        0.14538444
         0.38889393         0.57714846       4        0.00148004        0.24377391        0.14538444
         0.38689393         0.57714367       4        0.00200000        0.24377391        0.14538444
         0.38503818         0.57681109       4        0.00200000        0.24377491        0.14663775
         0.38615798         0.57623233       4        0.00200000        0.24377591        0.14789107
         0.38720034         0.57582824       4        0.00111794        0.24377622        0.14789107
         0.38648455         0.57717145       4        0.00152202        0.24377680        0.14789107
         0.38455900         0.57698850       4        0.00200000        0.24377780        0.14914438
         0.38324129         0.57620750       4        0.00200000        0.24377880        0.15039770
         0.38434365         0.57590626       4        0.00114277        0.24377912        0.15039770
         0.38338401         0.57698527       4        0.00144401        0.24377965        0.15039770
         0.38156141         0.57616179       4        0.00200000        0.24377965        0.15039770
         0.38193499         0.57729003       4        0.00118848        0.24378000        0.15039770
         0.38292961         0.57555488       4        0.00200000        0.24378000        0.15039770
         0.38125790         0.57490002       4        0.00179539        0.24378081        0.15039770
         0.38294779         0.57312575       4        0.00245025        0.24378231        0.15039770
