PSD @ YYE. Simulation done on 2023- 4-19   22h14
   462.96296296296316        224.52510468485443     
   475.30864197530883        224.52510468485443     
   481.48148148148169        213.83343303319467     
   487.65432098765456        224.52510468485440     
   500.00000000000023        224.52510468485440     
   493.82716049382742        235.21677633651413     
   500.00000000000028        245.90844798817386     
   487.65432098765456        245.90844798817389     
   481.48148148148175        256.60011963983362     
   487.65432098765461        267.29179129149338     
   500.00000000000028        267.29179129149338     
   493.82716049382742        277.98346294315309     
   500.00000000000028        288.67513459481285     
   487.65432098765461        288.67513459481285     
   481.48148148148175        299.36680624647261     
   475.30864197530889        288.67513459481285     
   462.96296296296322        288.67513459481285     
   456.79012345679041        299.36680624647261     
   462.96296296296327        310.05847789813231     
   450.61728395061755        310.05847789813231     
   444.44444444444474        320.75014954979207     
   438.27160493827188        310.05847789813237     
   425.92592592592621        310.05847789813237     
   432.09876543209907        299.36680624647261     
   425.92592592592621        288.67513459481290     
   413.58024691358054        288.67513459481290     
   407.40740740740767        299.36680624647266     
   401.23456790123481        288.67513459481290     
   388.88888888888914        288.67513459481290     
   382.71604938271634        299.36680624647266     
   388.88888888888920        310.05847789813237     
   376.54320987654347        310.05847789813237     
   370.37037037037067        320.75014954979213     
   376.54320987654353        331.44182120145189     
   388.88888888888920        331.44182120145189     
   382.71604938271639        342.13349285311159     
   388.88888888888926        352.82516450477135     
   376.54320987654353        352.82516450477135     
   370.37037037037067        363.51683615643111     
   364.19753086419786        352.82516450477141     
   351.85185185185213        352.82516450477141     
   345.67901234567933        363.51683615643117     
   351.85185185185219        374.20850780809087     
   339.50617283950646        374.20850780809087     
   333.33333333333366        384.90017945975063     
   327.16049382716079        374.20850780809087     
   314.81481481481512        374.20850780809087     
   320.98765432098799        363.51683615643117     
   314.81481481481512        352.82516450477141     
   302.46913580246945        352.82516450477141     
   296.29629629629659        363.51683615643117     
   290.12345679012373        352.82516450477141     
   277.77777777777806        352.82516450477141     
   283.95061728395086        342.13349285311165     
   277.77777777777800        331.44182120145189     
   290.12345679012373        331.44182120145189     
   296.29629629629653        320.75014954979213     
   290.12345679012367        310.05847789813237     
   277.77777777777800        310.05847789813237     
   283.95061728395086        299.36680624647266     
   277.77777777777800        288.67513459481290     
   265.43209876543233        288.67513459481290     
   259.25925925925947        299.36680624647266     
   253.08641975308663        288.67513459481290     
   240.74074074074093        288.67513459481290     
   234.56790123456810        299.36680624647266     
   240.74074074074093        310.05847789813242     
   228.39506172839526        310.05847789813237     
   222.22222222222243        320.75014954979213     
   216.04938271604959        310.05847789813242     
   203.70370370370392        310.05847789813242     
   209.87654320987673        299.36680624647266     
   203.70370370370389        288.67513459481296     
   191.35802469135820        288.67513459481296     
   185.18518518518536        299.36680624647272     
   179.01234567901253        288.67513459481296     
   166.66666666666683        288.67513459481296     
   160.49382716049399        299.36680624647272     
   166.66666666666686        310.05847789813248     
   154.32098765432116        310.05847789813242     
   148.14814814814832        320.75014954979218     
   154.32098765432116        331.44182120145194     
   166.66666666666686        331.44182120145194     
   160.49382716049402        342.13349285311165     
   166.66666666666686        352.82516450477141     
   154.32098765432116        352.82516450477141     
   148.14814814814832        363.51683615643117     
   141.97530864197549        352.82516450477141     
   129.62962962962979        352.82516450477141     
   123.45679012345695        363.51683615643117     
   129.62962962962979        374.20850780809093     
   117.28395061728412        374.20850780809087     
   111.11111111111128        384.90017945975063     
   117.28395061728413        395.59185111141039     
   129.62962962962982        395.59185111141039     
   123.45679012345697        406.28352276307010     
   129.62962962962982        416.97519441472986     
   141.97530864197549        416.97519441472986     
   148.14814814814832        406.28352276307010     
   154.32098765432119        416.97519441472986     
   166.66666666666686        416.97519441472986     
   160.49382716049402        427.66686606638956     
   166.66666666666686        438.35853771804926     
   154.32098765432121        438.35853771804932     
   148.14814814814838        449.05020936970902     
   154.32098765432121        459.74188102136878     
   166.66666666666691        459.74188102136878     
